category,item,shown,picked,pick_rate_percent
BALL,8-Ball,14,3,21.43
BALL,Black Hole,10,1,10.00
BALL,Fastball,7,0,0.00
BALL,Heavy Ball,18,6,33.33
BALL,Midas Ball,11,1,9.09
BALL,Odd Ball,17,0,0.00
BALL,Retrigger,7,0,0.00
BALL,Upgrade Ball,11,5,45.45
PIN,3rd Time,12,4,33.33
PIN,Big Pin,17,7,41.18
PIN,Copy Cat,8,2,25.00
PIN,Exploding Pin,15,4,26.67
PIN,Gold Pin,12,6,50.00
PIN,Ice Pin,15,2,13.33
PIN,Level Up,1,1,100.00
PIN,Light Pin,15,2,13.33
PIN,Lover,1,0,0.00
PIN,Lucky Ducky,8,4,50.00
PIN,Mischievous,13,2,15.38
POWER,7 8 9,1,0,0.00
POWER,Bumpers,14,1,7.14
POWER,Confusion,14,4,28.57
POWER,Duplicate,14,2,14.29
POWER,Earthquake,10,1,10.00
POWER,Extra Ball,16,1,6.25
POWER,Extra Pins,16,7,43.75
POWER,Extra Slot,7,1,14.29
POWER,Greedy,17,0,0.00
POWER,Home Base,15,2,13.33
POWER,Mo Money,11,2,18.18
POWER,Passed Go,10,3,30.00
POWER,Random Upgrade,8,0,0.00
POWER,Reroll,13,1,7.69
POWER,Sales,13,4,30.77
POWER,Swap Pins,15,3,20.00
POWER,Upgrades+3,17,0,0.00
